nombre;alquiler;1;2;3:4:hotel;hipoteca;casc;hotc;costo;color 
mediterranean avenue;2;10;30;90;160;250;30;50;50;60;br
baltic avenue;4;20;60;180;320;450;30;50;50;60;br
oriental avenue;6;30;90;270;400;550;50;50;50;100;lb
vermont avenue;6;30;90;270;400;550;50;50;50;100;lb
connecticut avenue;8;40;100;300;450;600;60;50;50;120;lb
St Charles Place;10;50;150;450;625;750;70;100;100;140;p
States Avenue;10;50;150;450;625;750;70;100;100;140;p
Virginia Avenue;12;60;180;500;700;900;80;100;100;160;p
St James Place;14;70;200;550;750;950;90;100;100;180;o
Tennessee Avenue;14;70;200;550;750;950;90;100;100;180;o
New York Avenue;16;80;220;600;800;1000;100;100;100;200;o
Kentucky Avenue;18;90;250;700;875;1050;110;150;150;220;r
Indiana Avenue;18;90;250;700;875;1050;110;150;150;220;r
Illinois Avenue;20;100;300;750;925;1100;120;150;150;240;r
Atlantic Avenue;22;110;330;800;975;1150;130;150;150;260;a
Ventnor Avenue;22;110;330;800;975;1150;130;150;150;260;a
Marvin Gardens;24;120;360;850;1025;1200;140;150;150;280;a
Pacific Avenue;26;130;390;900;1100;1275;150;200;200;300;g
North Carolina Avenue;26;130;390;900;1100;1275;150;200;200;300;g
Pennsylvania Avenue;28;150;450;1000;1200;1400;160;200;200;320;g
park place;35;175;500;1100;1300;1500;175;200;200;350;db
boardwalk;50;200;600;1400;1700;2000;200;200;200;400;db

